# Wavelength(micron) Intensity(MJy/sr) Error
5.473753 3911.059347 62.458572
5.474540 3913.244277 63.270635
5.475327 3921.492309 65.130473
5.476115 3904.211281 65.351374
5.476902 3925.715134 65.929723
5.477689 3941.514676 65.886840
5.478476 3775.245515 62.051593
5.479263 3781.957025 61.398127
5.480051 3780.862730 60.951855
5.480838 3898.574268 61.993104
5.481625 3915.957820 61.134163
5.482412 3916.964262 60.249839
5.483199 3926.592782 60.015216
5.483987 3940.092116 59.736971
5.484774 3943.472502 59.106611
5.485561 3956.144294 59.156018
5.486348 3969.820041 58.210790
5.487135 3964.919309 57.066556
5.487923 3978.222749 56.491450
5.488710 3990.737441 55.576192
5.489497 3995.556081 55.190539
5.490284 4004.604093 55.048957
5.491071 4011.702112 55.085106
5.491859 4028.178596 55.560845
5.492646 4062.139244 56.585842
5.493433 4098.217822 57.452478
5.494220 4132.063787 58.204575
5.495007 4172.101691 58.432090
5.495794 4194.793189 58.962482
5.496582 4200.707718 58.789926
5.497369 4221.111963 59.151327
5.498156 4237.931620 59.240504
5.498943 4266.630596 59.781755
5.499730 4332.164049 61.139526
5.500518 4377.116030 62.565705
5.501305 4486.947587 65.364416
5.502092 4493.155913 67.967524
5.502879 4516.580612 67.745310
5.503666 4484.439274 66.553374
5.504454 4409.482301 65.326501
